"DXXL3BMC.Code.or.Value","DXXL3BMC.Value.Description","DXXL3BMC.Count","DXXL3BMC.Cumulative","DXXL3BMC.Skip.to.Item"
"3.38 to 43.83","Range of Values",6307,6307,NA
".","Missing",1427,7734,NA
