"LBXLYPCT.Code.or.Value","LBXLYPCT.Value.Description","LBXLYPCT.Count","LBXLYPCT.Cumulative","LBXLYPCT.Skip.to.Item"
"4.6 to 78.9","Range of Values",8925,8925,NA
".","Missing",1004,9929,NA
