"LBDLDL.Code.or.Value","LBDLDL.Value.Description","LBDLDL.Count","LBDLDL.Cumulative","LBDLDL.Skip.to.Item"
"20 to 316","Range of Values",3643,3643,NA
".","Missing",821,4464,NA
