"OCQ180.Code.or.Value","OCQ180.Value.Description","OCQ180.Count","OCQ180.Cumulative","OCQ180.Skip.to.Item"
"1 to 123","Range of Values",3334,3334,NA
"77777","Refused",0,3334,NA
"99999","Don't know",4,3338,NA
".","Missing",3208,6546,NA
