"DS1IVB12.Code.or.Value","DS1IVB12.Value.Description","DS1IVB12.Count","DS1IVB12.Cumulative","DS1IVB12.Skip.to.Item"
"0.01287 to 5000","Range of Values",2022,2022,NA
".","Missing",3701,5723,NA
