"WBXF049.Code.or.Value","WBXF049.Value.Description","WBXF049.Count","WBXF049.Cumulative","WBXF049.Skip.to.Item"
"1498.3071 to 1498.3071","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
