"TYXP009.Code.or.Value","TYXP009.Value.Description","TYXP009.Count","TYXP009.Cumulative","TYXP009.Skip.to.Item"
"36 to 198","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
