"DR2TBCAR.Code.or.Value","DR2TBCAR.Value.Description","DR2TBCAR.Count","DR2TBCAR.Cumulative","DR2TBCAR.Skip.to.Item"
"0 to 59688","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
