"LBDRLP.Code.or.Value","LBDRLP.Value.Description","LBDRLP.Count","LBDRLP.Cumulative","LBDRLP.Skip.to.Item"
"1","Positive",1540,1540,NA
"2","Negative",47,1587,NA
".","Missing",272,1859,NA
