"DMDHRMAR.Code.or.Value","DMDHRMAR.Value.Description","DMDHRMAR.Count","DMDHRMAR.Cumulative","DMDHRMAR.Skip.to.Item"
"1","Married",4673,4673,NA
"2","Widowed",577,5250,NA
"3","Divorced",861,6111,NA
"4","Separated",538,6649,NA
"5","Never married",1115,7764,NA
"6","Living with partner",267,8031,NA
"77","Refused",18,8049,NA
"99","Don't know",13,8062,NA
".","Missing",1903,9965,NA
