"BIDECF.Code.or.Value","BIDECF.Value.Description","BIDECF.Count","BIDECF.Cumulative","BIDECF.Skip.to.Item"
"4.83 to 29.69","Range of Values",4083,4083,NA
".","Missing",1228,5311,NA
