"RFXC169.Code.or.Value","RFXC169.Value.Description","RFXC169.Count","RFXC169.Cumulative","RFXC169.Skip.to.Item"
"-7.386 to 0.487","Range of Values",51049,51049,NA
".","Missing",27,51076,NA
