"BIXC378K.Code.or.Value","BIXC378K.Value.Description","BIXC378K.Count","BIXC378K.Cumulative","BIXC378K.Skip.to.Item"
"8.94 to 109.64","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
