"DSQISELE.Code.or.Value","DSQISELE.Value.Description","DSQISELE.Count","DSQISELE.Cumulative","DSQISELE.Skip.to.Item"
"1 to 700","Range of Values",1512,1512,NA
".","Missing",7605,9117,NA
