"LBDPFOAL.Code.or.Value","LBDPFOAL.Value.Description","LBDPFOAL.Count","LBDPFOAL.Cumulative","LBDPFOAL.Skip.to.Item"
"0","At or above the detection limit",2098,2098,NA
"1","Below lower detection limit",2,2100,NA
".","Missing",194,2294,NA
