"LBXTO1.Code.or.Value","LBXTO1.Value.Description","LBXTO1.Count","LBXTO1.Cumulative","LBXTO1.Skip.to.Item"
"0 to 240","Range of Values",5120,5120,NA
".","Missing",535,5655,NA
