"ALQ151.Code.or.Value","ALQ151.Value.Description","ALQ151.Count","ALQ151.Cumulative","ALQ151.Skip.to.Item"
"1","Yes",725,725,NA
"2","No",3495,4220,NA
"7","Refused",1,4221,NA
"9","Don't know",1,4222,NA
".","Missing",1513,5735,NA
