"DS1TKCAL.Code.or.Value","DS1TKCAL.Value.Description","DS1TKCAL.Count","DS1TKCAL.Cumulative","DS1TKCAL.Skip.to.Item"
"1 to 520","Range of Values",1210,1210,NA
".","Missing",8334,9544,NA
