"PSQ100E.Code.or.Value","PSQ100E.Value.Description","PSQ100E.Count","PSQ100E.Cumulative","PSQ100E.Skip.to.Item"
"1","Yes",14,14,NA
"2","No",16,30,NA
"7","Refused",0,30,NA
"9","Don't know",3,33,NA
".","Missing",88,121,NA
