"DS1IPFAT.Code.or.Value","DS1IPFAT.Value.Description","DS1IPFAT.Count","DS1IPFAT.Cumulative","DS1IPFAT.Skip.to.Item"
"0.085 to 20","Range of Values",223,223,NA
".","Missing",5500,5723,NA
