"MCQ170K.Code.or.Value","MCQ170K.Value.Description","MCQ170K.Count","MCQ170K.Cumulative","MCQ170K.Skip.to.Item"
"1","Yes",136,136,"MCQ180K"
"2","No",156,292,"MCQ180K"
"7","Refused",0,292,"MCQ180K"
"9","Don't know",7,299,"MCQ180K"
".","Missing",9194,9493,""
