"URXMNP.Code.or.Value","URXMNP.Value.Description","URXMNP.Count","URXMNP.Cumulative","URXMNP.Skip.to.Item"
"0.8712 to 228.074","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
