"DBD041.Code.or.Value","DBD041.Value.Description","DBD041.Count","DBD041.Cumulative","DBD041.Skip.to.Item"
"1 to 760","Range of Values",1646,1646,""
"0","Never",212,1858,"DBD055"
"777777","Refused",0,1858,""
"999999","Don't know",7,1865,""
".","Missing",8310,10175,""
