"MPQ120i.Code.or.Value","MPQ120i.Value.Description","MPQ120i.Count","MPQ120i.Cumulative","MPQ120i.Skip.to.Item"
"18","Lower arm - right",87,87,NA
".","Missing",5324,5411,NA
