"AUDTYL43.Code.or.Value","AUDTYL43.Value.Description","AUDTYL43.Count","AUDTYL43.Cumulative","AUDTYL43.Skip.to.Item"
"0 to 2.44","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
