"ALQ130.Code.or.Value","ALQ130.Value.Description","ALQ130.Count","ALQ130.Cumulative","ALQ130.Skip.to.Item"
"1 to 82","Range of Values",3329,3329,NA
"777","Refused",2,3331,NA
"999","Don't know",3,3334,NA
".","Missing",2281,5615,NA
