"DRDINT.Code.or.Value","DRDINT.Value.Description","DRDINT.Count","DRDINT.Cumulative","DRDINT.Skip.to.Item"
"1","Day 1 only",1348,1348,NA
"2","Day 1 and day 2",8406,9754,NA
".","Missing",499,10253,NA
