"DXDTOBMC.Code.or.Value","DXDTOBMC.Value.Description","DXDTOBMC.Count","DXDTOBMC.Cumulative","DXDTOBMC.Skip.to.Item"
"602.95 to 4365.07","Range of Values",5068,5068,NA
".","Missing",965,6033,NA
