"LBDPFLLC.Code.or.Value","LBDPFLLC.Value.Description","LBDPFLLC.Count","LBDPFLLC.Cumulative","LBDPFLLC.Skip.to.Item"
"0","At or above the detection limit",2017,2017,NA
"1","Below lower detection limit",308,2325,NA
".","Missing",378,2703,NA
