"DR2IS080.Code.or.Value","DR2IS080.Value.Description","DR2IS080.Count","DR2IS080.Cumulative","DR2IS080.Skip.to.Item"
"0 to 5.063","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
