"FSQ653.Code.or.Value","FSQ653.Value.Description","FSQ653.Count","FSQ653.Cumulative","FSQ653.Skip.to.Item"
"1","Yes",994,994,""
"2","No",607,1601,"FSQ690"
"7","Refused",0,1601,"FSQ690"
"9","Don't know",3,1604,"FSQ690"
".","Missing",8367,9971,""
