"DRD370V.Code.or.Value","DRD370V.Value.Description","DRD370V.Count","DRD370V.Cumulative","DRD370V.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",2027,2027,NA
".","Missing",8450,10477,NA
