"DS1TPROT.Code.or.Value","DS1TPROT.Value.Description","DS1TPROT.Count","DS1TPROT.Cumulative","DS1TPROT.Skip.to.Item"
"0.02 to 76","Range of Values",145,145,NA
".","Missing",9668,9813,NA
