"WTSPO24.Code.or.Value","WTSPO24.Value.Description","WTSPO24.Count","WTSPO24.Cumulative","WTSPO24.Skip.to.Item"
"0.0000000 to 855532.4086600","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
