"RFXT095.Code.or.Value","RFXT095.Value.Description","RFXT095.Count","RFXT095.Cumulative","RFXT095.Skip.to.Item"
"822 to 831","Range of Values",33693,33693,NA
".","Missing",28,33721,NA
