"DXDLAPF.Code.or.Value","DXDLAPF.Value.Description","DXDLAPF.Count","DXDLAPF.Cumulative","DXDLAPF.Skip.to.Item"
"10.7 to 67.2","Range of Values",4985,4985,NA
".","Missing",795,5780,NA
