"LBC157LA.Code.or.Value","LBC157LA.Value.Description","LBC157LA.Count","LBC157LA.Cumulative","LBC157LA.Skip.to.Item"
"0.1 to 6.9","Range of Values",264,264,NA
".","Missing",0,264,NA
