"DRQ370AQ.Code.or.Value","DRQ370AQ.Value.Description","DRQ370AQ.Count","DRQ370AQ.Cumulative","DRQ370AQ.Skip.to.Item"
"1 to 28","Range of Values",1137,1137,NA
".","Missing",8145,9282,NA
