"MPQ070.Code.or.Value","MPQ070.Value.Description","MPQ070.Count","MPQ070.Cumulative","MPQ070.Skip.to.Item"
"1","Yes",1912,1912,""
"2","No",3126,5038,"MPQ090"
"7","Refused",0,5038,"MPQ090"
"9","Don't know",2,5040,"MPQ090"
".","Missing",1,5041,""
