"RFXT121.Code.or.Value","RFXT121.Value.Description","RFXT121.Count","RFXT121.Cumulative","RFXT121.Skip.to.Item"
"1052 to 1061","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
