"AUXR2KL.Code.or.Value","AUXR2KL.Value.Description","AUXR2KL.Count","AUXR2KL.Cumulative","AUXR2KL.Skip.to.Item"
"30 to 75","Range of Values",5,5,NA
"666","No response",1,6,NA
"888","Could not obtain",0,6,NA
".","Missing",2040,2046,NA
