"DR1IVK.Code.or.Value","DR1IVK.Value.Description","DR1IVK.Count","DR1IVK.Cumulative","DR1IVK.Skip.to.Item"
"0 to 4027.9","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
