"BIXS898K.Code.or.Value","BIXS898K.Value.Description","BIXS898K.Count","BIXS898K.Cumulative","BIXS898K.Skip.to.Item"
"96.29 to 811.86","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
