"ARQ118AJ.Code.or.Value","ARQ118AJ.Value.Description","ARQ118AJ.Count","ARQ118AJ.Cumulative","ARQ118AJ.Skip.to.Item"
"19","Gout",13,13,NA
".","Missing",5093,5106,NA
