"URDDCBLC.Code.or.Value","URDDCBLC.Value.Description","URDDCBLC.Count","URDDCBLC.Cumulative","URDDCBLC.Skip.to.Item"
"0","At or above the detection limit",2143,2143,NA
"1","Below lower detection limit",382,2525,NA
".","Missing",87,2612,NA
