"AUXTPVL.Code.or.Value","AUXTPVL.Value.Description","AUXTPVL.Count","AUXTPVL.Cumulative","AUXTPVL.Skip.to.Item"
"0.3 to 3.5","Range of Values",1655,1655,NA
"777","Refused",5,1660,NA
"888","Could not obtain",0,1660,NA
".","Missing",147,1807,NA
