"RHQ568Q.Code.or.Value","RHQ568Q.Value.Description","RHQ568Q.Count","RHQ568Q.Cumulative","RHQ568Q.Skip.to.Item"
"1 to 19","Range of Values",73,73,NA
"77","Refused",0,73,NA
"99","Don't know",4,77,NA
".","Missing",3407,3484,NA
