"OSQ010c.Code.or.Value","OSQ010c.Value.Description","OSQ010c.Count","OSQ010c.Cumulative","OSQ010c.Skip.to.Item"
"1","Yes",92,92,"OSQ020c"
"2","No",4781,4873,"OSQ025"
"7","Refused",3,4876,"OSQ025"
"9","Don't know",4,4880,"OSQ025"
".","Missing",0,4880,""
