"AUDTYL81.Code.or.Value","AUDTYL81.Value.Description","AUDTYL81.Count","AUDTYL81.Cumulative","AUDTYL81.Skip.to.Item"
"0 to 0.25","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
