"SMD650.Code.or.Value","SMD650.Value.Description","SMD650.Count","SMD650.Cumulative","SMD650.Skip.to.Item"
"2 to 90","Range of Values",1139,1139,NA
"1","1 cigarette or less",107,1246,NA
"95","95 cigarettes or more",0,1246,NA
"777","Refused",0,1246,NA
"999","Don't know",2,1248,NA
".","Missing",5920,7168,NA
