"DXXLSBMC.Code.or.Value","DXXLSBMC.Value.Description","DXXLSBMC.Count","DXXLSBMC.Cumulative","DXXLSBMC.Skip.to.Item"
"6.21 to 156.14","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
