"WHQ510P.Code.or.Value","WHQ510P.Value.Description","WHQ510P.Count","WHQ510P.Cumulative","WHQ510P.Skip.to.Item"
"26","I want to be skinny/I don’t want to be fat/because I’m or overweight or obese",55,55,NA
".","Missing",1372,1427,NA
