"OPDSIRMA.Code.or.Value","OPDSIRMA.Value.Description","OPDSIRMA.Count","OPDSIRMA.Cumulative","OPDSIRMA.Skip.to.Item"
"0","None",3095,3095,NA
"1","Questionable",27,3122,NA
"2","< 8A",23,3145,NA
"3",">= 8A",7,3152,NA
".","Missing",711,3863,NA
