"DX2RLBMD.Code.or.Value","DX2RLBMD.Value.Description","DX2RLBMD.Count","DX2RLBMD.Cumulative","DX2RLBMD.Skip.to.Item"
"0.852 to 1.888","Range of Values",466,466,NA
".","Missing",19,485,NA
