"DR1TVC.Code.or.Value","DR1TVC.Value.Description","DR1TVC.Count","DR1TVC.Cumulative","DR1TVC.Skip.to.Item"
"0 to 2135.5","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
