"DR1TLYCO.Code.or.Value","DR1TLYCO.Value.Description","DR1TLYCO.Count","DR1TLYCO.Cumulative","DR1TLYCO.Skip.to.Item"
"0 to 128835","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
