"DR1IPROT.Code.or.Value","DR1IPROT.Value.Description","DR1IPROT.Count","DR1IPROT.Cumulative","DR1IPROT.Skip.to.Item"
"0 to 194.5","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
