"PFQ069kQ.Code.or.Value","PFQ069kQ.Value.Description","PFQ069kQ.Count","PFQ069kQ.Cumulative","PFQ069kQ.Skip.to.Item"
"1 to 70","Range of Values",116,116,NA
"77777","Refused",0,116,NA
"99999","Don't know",0,116,NA
".","Missing",9377,9493,NA
