"WTIREP39.Code.or.Value","WTIREP39.Value.Description","WTIREP39.Count","WTIREP39.Cumulative","WTIREP39.Skip.to.Item"
"0 to 239060.10369","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
