"MPQ010.Code.or.Value","MPQ010.Value.Description","MPQ010.Count","MPQ010.Cumulative","MPQ010.Skip.to.Item"
"1","Yes",2379,2379,""
"2","No",3026,5405,"MPQ060"
"7","Refused",0,5405,"MPQ060"
"9","Don't know",5,5410,"MPQ060"
".","Missing",1,5411,""
