"URXVOL2.Code.or.Value","URXVOL2.Value.Description","URXVOL2.Count","URXVOL2.Cumulative","URXVOL2.Skip.to.Item"
"0 to 418","Range of Values",1393,1393,NA
".","Missing",6428,7821,NA
