"LBDDIELC.Code.or.Value","LBDDIELC.Value.Description","LBDDIELC.Count","LBDDIELC.Cumulative","LBDDIELC.Skip.to.Item"
"0","detectable result",1016,1016,NA
"1","below detectable limit",1143,2159,NA
".","Missing",388,2547,NA
