"LBCBR8LA.Code.or.Value","LBCBR8LA.Value.Description","LBCBR8LA.Count","LBCBR8LA.Cumulative","LBCBR8LA.Skip.to.Item"
"0.09192 to 3.533","Range of Values",251,251,NA
".","Missing",0,251,NA
