"DS1IPHOS.Code.or.Value","DS1IPHOS.Value.Description","DS1IPHOS.Count","DS1IPHOS.Cumulative","DS1IPHOS.Skip.to.Item"
"0.85 to 1040","Range of Values",989,989,NA
".","Missing",4734,5723,NA
